pm:cp_A01015 	pm:cp_UTB_4_4 	186.772610 	142667.802930
pm:cp_A01006 	pm:cp_UTB_2_3 	173.107524 	136985.697845
pm:cp_A01001 	pm:cp_UTB_1_4 	198.021691 	157419.561035
pm:cp_A01008 	pm:cp_UTB_2_11 	173.313829 	152870.287190
pm:cp_A01010 	pm:cp_UTB_3_3 	164.253759 	132606.771230
pm:cp_A01009 	pm:cp_UTB_3_4 	168.114492 	137017.285380
pm:cp_A01003 	pm:cp_UTB_1_3 	183.591491 	147769.225732
pm:cp_A01002 	pm:cp_UTB_1_11 	207.948493 	161771.862924
pm:cp_A01011 	pm:cp_UTB_3_12 	168.256156 	137882.191230
pm:cp_A01012 	pm:cp_UTB_3_11 	163.712765 	140978.715380
pm:cp_A01004 	pm:cp_UTB_1_12 	179.178373 	156319.806840
pm:cp_A01007 	pm:cp_UTB_2_12 	231.475846 	154984.274713
pm:cp_A01013 	pm:cp_UTB_4_5 	135.291243 	137162.897080
pm:cp_A01005 	pm:cp_UTB_2_6 	136.037446 	158805.684609
pm:cp_A01014 	pm:cp_UTB_4_6 	154.016605 	150661.382930
pm:cp_A01009 	pm:cp_UTB_3_5 	130.925241 	125135.285380
pm:cp_A01016 	pm:cp_UTB_4_14 	144.320489 	118275.375883
pm:cp_A01015 	pm:cp_UTB_4_13 	168.290433 	151655.187968
pm:cp_A01001 	pm:cp_UTB_1_5 	158.416224 	149066.337729
pm:cp_A01002 	pm:cp_UTB_1_13 	160.165541 	154374.547737
pm:cp_A01006 	pm:cp_UTB_2_13 	172.429215 	157999.588260
pm:cp_A01011 	pm:cp_UTB_3_14 	142.064394 	135309.191230
pm:cp_A01010 	pm:cp_UTB_3_6 	170.974457 	134031.771230
pm:cp_A01003 	pm:cp_UTB_1_6 	157.156572 	149139.937713
pm:cp_A01004 	pm:cp_UTB_1_14 	140.370020 	155173.886341
pm:cp_A01007 	pm:cp_UTB_2_5 	163.212189 	143500.728571
pm:cp_A01012 	pm:cp_UTB_3_13 	151.936438 	139015.715380
pm:cp_A01014 	pm:cp_UTB_4_7 	137.041620 	135573.382930
pm:cp_A01013 	pm:cp_UTB_4_8 	147.883887 	152133.897080
pm:cp_A01016 	pm:cp_UTB_4_16 	124.336899 	117954.375883
pm:cp_A01009 	pm:cp_UTB_3_7 	140.516304 	125241.285380
pm:cp_A01008 	pm:cp_UTB_2_8 	154.905911 	149036.116610
pm:cp_A01005 	pm:cp_UTB_2_14 	158.334015 	158473.377080
pm:cp_A01001 	pm:cp_UTB_1_7 	143.522173 	141780.337729
pm:cp_A01015 	pm:cp_UTB_4_15 	181.927190 	151529.187968
pm:cp_A01006 	pm:cp_UTB_2_15 	168.739712 	157576.588260
pm:cp_A01002 	pm:cp_UTB_1_15 	164.036753 	154034.548587
pm:cp_A01010 	pm:cp_UTB_3_8 	179.473240 	134122.771230
pm:cp_A01004 	pm:cp_UTB_1_8 	148.922485 	146320.972918
pm:cp_A01011 	pm:cp_UTB_3_16 	157.495404 	135298.191230
pm:cp_A01007 	pm:cp_UTB_2_7 	163.143080 	125406.866407
pm:cp_A01012 	pm:cp_UTB_3_15 	159.015915 	138496.715380
pm:cp_A01014 	pm:cp_UTB_4_10 	136.651522 	128115.726483
pm:cp_A01003 	pm:cp_UTB_1_16 	194.975889 	147241.454470
pm:cp_A01013 	pm:cp_UTB_4_9 	150.436017 	162746.282118
pm:cp_A01008 	pm:cp_UTB_2_16 	164.298572 	149766.807080
pm:cp_A01016 	pm:cp_UTB_4_2 	142.144369 	140487.032330
pm:cp_A01015 	pm:cp_UTB_4_1 	163.501237 	132588.802930
pm:cp_A01005 	pm:cp_UTB_2_2 	167.216944 	160089.684609
pm:cp_A01009 	pm:cp_UTB_3_1 	156.694916 	134041.285380
pm:cp_A01006 	pm:cp_UTB_2_9 	167.730874 	161102.588260
pm:cp_A01011 	pm:cp_UTB_3_2 	144.960651 	129890.191230
pm:cp_A01001 	pm:cp_UTB_1_2 	194.805728 	157478.561143
pm:cp_A01002 	pm:cp_UTB_1_9 	186.988355 	161367.862959
pm:cp_A01004 	pm:cp_UTB_1_1 	153.495420 	146244.260937
pm:cp_A01007 	pm:cp_UTB_2_1 	202.537236 	143769.730571
pm:cp_A01012 	pm:cp_UTB_3_10 	154.379049 	135978.715380
pm:cp_A01010 	pm:cp_UTB_3_9 	198.078638 	149379.771230
pm:cp_A01013 	pm:cp_UTB_4_12 	128.299596 	129217.240633
pm:cp_A01008 	pm:cp_UTB_2_10 	215.562684 	153166.807080
pm:cp_A01003 	pm:cp_UTB_1_10 	191.455828 	158588.771635
pm:cp_A01016 	pm:cp_UTB_4_3 	144.666153 	130378.032330
pm:cp_A01005 	pm:cp_UTB_2_4 	145.184977 	159981.686609
pm:cp_A01014 	pm:cp_UTB_4_11 	172.344351 	160922.767968
pm:cp_A01001 	pm:cp_UTB_1_11 	173.151828 	163069.396129
pm:cp_A01015 	pm:cp_UTB_4_4 	183.405723 	142667.802930
pm:cp_A01009 	pm:cp_UTB_3_3 	152.227649 	133899.285380
pm:cp_A01006 	pm:cp_UTB_2_11 	172.384588 	160734.588260
pm:cp_A01002 	pm:cp_UTB_1_4 	192.301228 	156122.027831
pm:cp_A01007 	pm:cp_UTB_2_3 	173.538823 	131148.864407
pm:cp_A01010 	pm:cp_UTB_3_4 	147.931526 	135724.771230
pm:cp_A01003 	pm:cp_UTB_1_3 	171.056423 	147769.225732
pm:cp_A01011 	pm:cp_UTB_3_12 	154.031495 	137882.191230
pm:cp_A01008 	pm:cp_UTB_2_12 	191.507842 	152956.807080
pm:cp_A01004 	pm:cp_UTB_1_12 	165.522672 	156319.806840
pm:cp_A01012 	pm:cp_UTB_3_11 	145.024487 	140978.715380
pm:cp_A01013 	pm:cp_UTB_4_5 	135.172121 	137162.897080
pm:cp_A01014 	pm:cp_UTB_4_6 	151.958593 	150661.382930
pm:cp_A01016 	pm:cp_UTB_4_14 	133.360403 	118275.375883
pm:cp_A01005 	pm:cp_UTB_2_6 	153.734144 	158805.684609
pm:cp_A01006 	pm:cp_UTB_2_13 	139.065338 	157999.588260
pm:cp_A01001 	pm:cp_UTB_1_5 	166.311160 	149066.337729
pm:cp_A01009 	pm:cp_UTB_3_6 	159.458747 	135324.285370
pm:cp_A01010 	pm:cp_UTB_3_5 	158.656325 	123842.771230
pm:cp_A01015 	pm:cp_UTB_4_13 	204.994604 	151655.187968
pm:cp_A01002 	pm:cp_UTB_1_13 	166.488657 	154374.547737
pm:cp_A01011 	pm:cp_UTB_3_14 	164.248847 	135309.191230
pm:cp_A01003 	pm:cp_UTB_1_6 	168.805497 	149139.937713
pm:cp_A01012 	pm:cp_UTB_3_13 	160.640003 	139015.715380
pm:cp_A01004 	pm:cp_UTB_1_14 	154.885748 	155173.886341
