tLMD 	 tRetDistance 	 tTotDistance 	 tIAssign 	 tAssign 	 tUnloadMove 	 tLoadMove 	 vnRequest 	 vnComplete 	 vnDelay
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12135.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12015.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12026.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12019.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 11467.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 11731.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12283.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12465.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 11951.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 10098.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 10533.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 10844.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 11165.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 11615.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 11991.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12096.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12657.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12875.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12921.000000 	 0.000000 	 0.000000
0.000000 	 0.000000 	 0.000000 	 0.000000 	0.000000 	 0.000000 	 0.000000 	 12896.000000 	 0.000000 	 0.000000
