A	B	C	D	E
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 39.916144 	 10.039968
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 38.178787 	 8.904998
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 62.333262 	 17.714457
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 58.468615 	 8.546076
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 51.963748 	 10.396968
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 45.651957 	 25.569389
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 96.583073 	 29.897213
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 86.948091 	 8.739077
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 71.238244 	 31.339389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 100.015987 	 33.288986
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 100.866801 	 15.072513
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 77.027784 	 39.989379
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 111.141397 	 15.185456
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 125.431738 	 39.994988
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 44.542690 	 5.900968
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 45.651665 	 9.941458
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 46.675330 	 27.551213
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 29.375429 	 6.593078
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 116.543041 	 29.574615
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 57.364563 	 14.913457
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 49.897888 	 1.503000
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 32.047719 	 11.785456
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 48.064312 	 6.870968
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 52.189749 	 22.539389
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 72.395065 	 6.707968
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 54.514570 	 26.504615
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 92.138655 	 3.611969
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 67.283322 	 24.021389
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 113.872296 	 6.687079
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 25.909033 	 6.431968
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 118.615114 	 27.871196
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 33.778911 	 15.094457
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 105.818496 	 37.276379
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 31.555845 	 6.746079
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 25.715130 	 11.995456
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 59.046029 	 9.790458
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 61.150693 	 27.742213
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 59.095009 	 4.015969
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 40.517102 	 7.238968
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 61.281211 	 2.113000
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 74.357609 	 6.701076
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 83.698582 	 22.681389
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 95.926745 	 22.129198
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 108.146112 	 6.841968
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 26.546796 	 7.582458
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 29.992082 	 9.913968
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 101.363711 	 23.967389
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 101.142097 	 37.405379
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 114.177151 	 27.092615
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 22.813036 	 9.973968
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 59.780431 	 17.417457
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 55.598650 	 32.948987
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 59.106282 	 7.786513
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 85.068475 	 29.576213
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 47.011599 	 25.660389
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 66.945215 	 7.877078
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 77.545061 	 15.579456
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 78.683085 	 31.445389
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 106.479251 	 8.055077
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 101.462336 	 9.174000
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 84.472625 	 39.978379
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 104.562451 	 7.987889
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 34.151665 	 7.402458
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 34.335999 	 10.039968
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 107.403701 	 29.055615
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 49.849669 	 17.714457
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 37.530950 	 8.904998
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 47.934684 	 8.739077
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 28.970643 	 10.396968
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 83.106118 	 29.897213
