pm:cp_UTB_4_9 	pm:cp_Cap_04_1 	16.361075 	5.137824 	22.190316 	5900.968000
pm:cp_UTB_1_9 	pm:cp_Cap_01_1 	15.593333 	4.029001 	19.716597 	4015.968913
pm:cp_UTB_1_1 	pm:cp_Can_01_1 	22.540350 	2.427780 	25.045273 	1503.000000
pm:cp_UTB_4_2 	pm:cp_Can_04_3 	22.166930 	19.213668 	41.477741 	9941.457693
pm:cp_UTB_1_2 	pm:cp_Can_01_3 	22.381388 	9.147453 	31.605984 	6687.078693
pm:cp_UTB_4_1 	pm:cp_Can_04_1 	27.625740 	29.106412 	57.439294 	14913.456764
pm:cp_UTB_4_10 	pm:cp_Cap_04_3 	26.729602 	34.032119 	61.488864 	27551.212828
pm:cp_UTB_2_9 	pm:cp_Cap_02_1 	27.700189 	5.708412 	34.058602 	6870.968000
pm:cp_UTB_1_10 	pm:cp_Cap_01_3 	33.139638 	7.347082 	48.029565 	6707.968238
pm:cp_UTB_2_10 	pm:cp_Cap_02_3 	25.478392 	12.282385 	38.627897 	11785.455832
pm:cp_UTB_2_2 	pm:cp_Can_02_3 	40.138024 	9.092409 	50.141861 	6593.078489
pm:cp_UTB_2_1 	pm:cp_Can_02_1 	17.122928 	32.247970 	50.163755 	8904.998000
pm:cp_UTB_3_1 	pm:cp_Can_03_1 	17.243908 	46.528182 	63.800662 	22539.388977
pm:cp_UTB_3_10 	pm:cp_Cap_03_3 	19.397981 	36.378911 	56.526892 	37276.379426
pm:cp_UTB_3_9 	pm:cp_Cap_03_1 	40.717227 	26.524794 	67.963450 	26504.615388
pm:cp_UTB_3_2 	pm:cp_Can_03_3 	29.910012 	44.950188 	74.915915 	24021.388977
pm:cp_UTB_4_11 	pm:cp_Cap_04_1 	20.895617 	6.290608 	27.877642 	6431.968000
pm:cp_UTB_1_3 	pm:cp_Can_01_1 	22.892279 	2.878589 	25.848010 	2113.000000
pm:cp_UTB_1_11 	pm:cp_Cap_01_1 	22.660177 	3.791354 	26.545794 	3611.968948
pm:cp_UTB_4_4 	pm:cp_Can_04_3 	31.596357 	12.458165 	44.151665 	9790.457693
pm:cp_UTB_2_4 	pm:cp_Can_02_3 	26.969282 	9.166110 	37.046821 	6701.076489
pm:cp_UTB_4_3 	pm:cp_Can_04_1 	41.685190 	14.644874 	57.037207 	15094.456764
pm:cp_UTB_4_12 	pm:cp_Cap_04_3 	24.725109 	31.711920 	57.164171 	27742.212828
pm:cp_UTB_2_11 	pm:cp_Cap_02_1 	33.621511 	5.924883 	40.196394 	7238.968000
pm:cp_UTB_2_12 	pm:cp_Cap_02_3 	27.595094 	12.405914 	40.868128 	11995.455832
pm:cp_UTB_2_3 	pm:cp_Can_02_1 	20.449472 	33.409271 	54.651599 	22129.197974
pm:cp_UTB_1_4 	pm:cp_Can_01_3 	49.451582 	21.870071 	71.398796 	6746.078801
pm:cp_UTB_3_3 	pm:cp_Can_03_1 	24.593189 	26.476682 	52.098442 	22681.388977
pm:cp_UTB_3_12 	pm:cp_Cap_03_3 	25.527731 	31.614709 	57.892440 	37405.379426
pm:cp_UTB_1_12 	pm:cp_Cap_01_3 	22.215742 	5.691354 	79.449942 	6841.968238
pm:cp_UTB_3_4 	pm:cp_Can_03_3 	20.116395 	24.611213 	77.783322 	23967.388977
pm:cp_UTB_3_11 	pm:cp_Cap_03_1 	51.569136 	26.848456 	79.139021 	27092.615388
pm:cp_UTB_4_13 	pm:cp_Cap_04_1 	22.451713 	8.765076 	32.908206 	9913.968000
pm:cp_UTB_4_5 	pm:cp_Can_04_1 	19.974487 	15.772433 	36.454063 	17417.456764
pm:cp_UTB_4_6 	pm:cp_Can_04_3 	27.178747 	10.039965 	37.315855 	7582.457693
pm:cp_UTB_2_6 	pm:cp_Can_02_3 	29.245958 	9.884745 	40.042132 	7877.078489
pm:cp_UTB_2_5 	pm:cp_Can_02_1 	39.735742 	7.805672 	48.334271 	9174.000000
pm:cp_UTB_2_13 	pm:cp_Cap_02_1 	27.178179 	7.533707 	53.361886 	9973.968000
pm:cp_UTB_4_14 	pm:cp_Cap_04_3 	54.997884 	30.174995 	85.900022 	29576.212828
pm:cp_UTB_3_6 	pm:cp_Can_03_3 	25.951526 	22.521843 	48.529083 	25660.388977
pm:cp_UTB_1_6 	pm:cp_Can_01_3 	70.065060 	9.989448 	80.131650 	8055.076920
pm:cp_UTB_1_5 	pm:cp_Can_01_1 	81.979062 	8.286017 	90.342222 	7786.513206
pm:cp_UTB_3_5 	pm:cp_Can_03_1 	30.233953 	47.334429 	77.596953 	31445.388977
pm:cp_UTB_1_13 	pm:cp_Cap_01_1 	55.491272 	59.453629 	115.039164 	32948.987052
pm:cp_UTB_1_14 	pm:cp_Cap_01_3 	99.062390 	6.744641 	106.349876 	7987.888737
pm:cp_UTB_3_14 	pm:cp_Cap_03_3 	49.085527 	38.455069 	88.290596 	39978.379426
pm:cp_UTB_3_13 	pm:cp_Cap_03_1 	73.735061 	26.696581 	101.153071 	29055.615388
pm:cp_UTB_2_14 	pm:cp_Cap_02_3 	32.662421 	16.051334 	111.580875 	15579.455832
pm:cp_UTB_4_8 	pm:cp_Can_04_3 	20.675300 	13.089826 	33.862269 	7402.457693
pm:cp_UTB_4_7 	pm:cp_Can_04_1 	22.799851 	18.702605 	42.209599 	17714.456764
pm:cp_UTB_4_15 	pm:cp_Cap_04_1 	19.282296 	8.943361 	44.917074 	10039.968000
pm:cp_UTB_2_8 	pm:cp_Can_02_3 	27.080354 	10.278274 	38.270056 	8546.076489
pm:cp_UTB_2_15 	pm:cp_Cap_02_1 	29.820563 	7.782530 	48.253093 	10396.968000
pm:cp_UTB_1_8 	pm:cp_Can_01_3 	61.149729 	10.391801 	71.618672 	8739.076920
pm:cp_UTB_3_8 	pm:cp_Can_03_3 	23.118414 	22.259910 	45.434039 	25569.388977
pm:cp_UTB_4_16 	pm:cp_Cap_04_3 	55.254164 	30.357312 	86.338619 	29897.212828
pm:cp_UTB_1_7 	pm:cp_Can_01_1 	66.121101 	12.717742 	78.915987 	15072.513206
pm:cp_UTB_3_16 	pm:cp_Cap_03_3 	20.291902 	33.429518 	54.471420 	39989.379426
