89829.670311 	 19786.005340 	 109615.675652 	 0.481842 	 4.972205 	 37.372074 	 64.486600 	 1341.000000 	 1297.000000 	 0.000000
90441.836799 	 21146.571907 	 111588.408706 	 0.476073 	 5.623980 	 39.028306 	 65.343291 	 1392.000000 	 1386.000000 	 0.000000
90930.447741 	 21441.321519 	 112371.769260 	 0.486392 	 5.490023 	 38.828616 	 65.057857 	 1386.000000 	 1377.000000 	 0.000000
90803.072118 	 21125.955723 	 111929.027841 	 0.470940 	 5.456447 	 38.896684 	 64.640416 	 1371.000000 	 1380.000000 	 0.000000
90877.038863 	 21646.309133 	 112523.347996 	 0.472941 	 5.604005 	 39.472987 	 64.989343 	 1372.000000 	 1381.000000 	 0.000000
91014.853021 	 20624.003015 	 111638.856036 	 0.482701 	 5.083566 	 38.770838 	 65.215691 	 1389.000000 	 1388.000000 	 0.000000
90384.624694 	 20926.066196 	 111310.690890 	 0.484372 	 6.153203 	 38.724356 	 64.877971 	 1394.000000 	 1386.000000 	 0.000000
90896.306255 	 21244.747582 	 112141.053837 	 0.477455 	 6.366263 	 39.158686 	 65.386648 	 1385.000000 	 1376.000000 	 0.000000
90965.560236 	 20522.453939 	 111488.014175 	 0.478020 	 5.436173 	 37.827827 	 65.093957 	 1372.000000 	 1386.000000 	 0.000000
90663.851789 	 20882.546077 	 111546.397867 	 0.471872 	 5.494336 	 38.344424 	 64.582836 	 1372.000000 	 1380.000000 	 0.000000
