A	B	C	D	E
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 37.894762 	 7.402458
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 45.371806 	 17.714457
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 135.418946 	 15.579456
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 131.414835 	 29.055615
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 133.490948 	 39.978379
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 44.917854 	 9.174000
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 45.308013 	 15.185456
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 46.873790 	 10.396968
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 75.159839 	 33.288986
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 88.175799 	 29.897213
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 82.694899 	 15.072513
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 53.645257 	 25.569389
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 78.965502 	 8.546076
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 73.140051 	 31.339389
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 109.189551 	 8.739077
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 83.451247 	 39.989379
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 24.857185 	 5.900968
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 117.969497 	 39.994988
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 99.840592 	 29.574615
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 33.568167 	 14.913457
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 24.564277 	 8.904998
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 45.391337 	 9.941458
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 29.422474 	 6.593078
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 53.068148 	 27.551213
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 45.501768 	 1.503000
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 54.187202 	 4.015969
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 38.549997 	 6.870968
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 51.437223 	 22.539389
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 76.784799 	 6.707968
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 73.910287 	 24.021389
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 106.504856 	 6.687079
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 95.113207 	 11.785456
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 26.889823 	 6.431968
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 19.918356 	 3.611969
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 104.117673 	 37.276379
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 31.388879 	 2.113000
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 43.797863 	 9.790458
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 49.260999 	 27.742213
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 124.394714 	 26.504615
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 26.698687 	 7.238968
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 46.694857 	 6.701076
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 40.680785 	 11.995456
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 53.541911 	 22.681389
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 86.258946 	 15.094457
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 47.999076 	 27.092615
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 90.864337 	 6.746079
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 82.559022 	 23.967389
