A	B	C	D	E
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 81.157352 	 24.021389
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 22.888544 	 6.431968
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 112.120454 	 37.276379
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 19.020916 	 2.113000
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 39.026650 	 9.790458
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 29.572756 	 6.746079
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 32.914844 	 3.611969
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 45.030544 	 27.742213
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 28.432144 	 6.701076
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 48.390834 	 15.094457
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 49.748195 	 22.129198
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 53.439342 	 7.238968
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 58.785518 	 22.681389
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 65.489511 	 11.995456
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 83.689364 	 6.841968
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 87.633546 	 23.967389
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 94.314403 	 37.405379
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 103.961087 	 27.092615
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 33.111636 	 7.582458
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 32.889322 	 9.913968
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 37.469287 	 17.417457
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 25.825667 	 9.174000
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 52.917855 	 7.786513
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 63.850399 	 29.576213
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 61.310733 	 7.877078
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 50.884329 	 29.055615
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 63.971901 	 25.660389
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 78.342696 	 31.445389
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 102.625839 	 8.055077
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 91.234918 	 39.978379
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 105.645147 	 9.973968
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 136.934720 	 32.948987
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 127.871712 	 7.987889
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 35.601204 	 7.402458
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 41.004954 	 17.714457
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 137.144070 	 15.579456
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 47.638158 	 10.039968
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 43.589447 	 8.739077
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 50.387806 	 8.546076
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 43.061125 	 10.396968
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 87.748163 	 29.897213
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 49.227530 	 29.574615
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 65.789993 	 15.185456
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 88.677535 	 15.072513
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 81.704183 	 25.569389
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 95.281165 	 31.339389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 128.208664 	 33.288986
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 106.851403 	 39.989379
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 23.930659 	 5.900968
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 21.032049 	 1.503000
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 32.151665 	 9.941458
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 137.557291 	 39.994988
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 155.121387 	 27.871196
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 55.828442 	 14.913457
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 38.486754 	 6.593078
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 49.621956 	 4.015969
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 35.927585 	 11.785456
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 46.750010 	 6.870968
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 49.388580 	 22.539389
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 82.439689 	 27.551213
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 74.235094 	 8.904998
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 82.048226 	 6.707968
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 98.287223 	 6.687079
