8
-1.6	-1.118	0	1.118	-1.6	-2.583	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.583	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.56	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.567	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.567	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.552	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.531	-1.6
-1.6	-1.118	0	1.118	-1.6	-2.53	-1.6
0.899	4.493	5.616	6.739	1.872	-2.583	1.685
0.89	4.452	5.565	6.678	1.855	-2.56	1.669
0.89	4.452	5.564	6.677	1.855	-2.56	1.669
0.893	4.464	5.58	6.695	1.86	-2.567	1.674
0.895	4.476	5.595	6.714	1.865	-2.574	1.678
0.888	4.438	5.548	6.658	1.849	-2.552	1.664
0.88	4.402	5.502	6.603	1.834	-2.531	1.651
0.88	4.401	5.501	6.601	1.834	-2.53	1.65
